"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","有效查询用户","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","26","提交订单","testcase.Business interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestEBusinessScenario","test_business_scenario","",""
"","16","无效新增·缺少必填参数role_id","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","23","校验订单状态","testcase.Business interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestEBusinessScenario","test_business_scenario","",""
"","24","获取商品详情","testcase.ProductManager","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestLogin","test_productList","",""
"","14","无效新增·缺少必填参数username","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","15","无效删除用户·缺少必填参数","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","19","正常新增用户","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","16","无效新增·缺少token","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","24","订单支付","testcase.Business interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestEBusinessScenario","test_business_scenario","",""
"","26","提交订单","testcase.ProductManager","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestLogin","test_productList","",""
"","24","商品详情","testcase.Business interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestEBusinessScenario","test_business_scenario","",""
"","23","订单支付","testcase.ProductManager","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestLogin","test_productList","",""
"","16","正常修改用户信息","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","22","商品列表","testcase.Business interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestEBusinessScenario","test_business_scenario","",""
"","18","无效删除用户·userid为空","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
"","22","获取商品列表","testcase.ProductManager","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestLogin","test_productList","",""
"","17","有效删除用户","testcase.Single interface","Sun Mar 15 11:46:35 CST 2026","passed","Sun Mar 15 11:46:35 CST 2026","TestUserManager","test_debug_api","",""
